"http://www.appannie.com/apps/ios/top/japan/education/?device=iphone"
#,free_title,free_publisher,paid_title,paid_publisher,sales_title,sales_publisher
1,ターゲットの友　英単語選手権で全国ランキングを競い合おう！,"Obunsha Co.,Ltd.",本気で英会話！ペラペラ英語　英単語・リスニング・TOEICの学習にも！,appArray Inc.,続く英語学習 えいぽんたん！,"Drecom Co., Ltd."
83,アプリゼミ　小学生通信教育　小１講座　算数　国語　英語,"DeNA Co., Ltd.",Toca Builders,Toca Boca AB,Bilingual News: Transcripts,Michael Yamaura
84,Animal Eggs - Educational games for toddler,monois Inc.,Ocean - Animal Adventures for Kids,Fox & Sheep,Back in Time,Landka
85,waochi!,WAO CORPORATION,Sago Mini Monsters,Sago Sago,Nemo English Complete,Nemo Apps LLC
86,Live Calligraphy | 活字帖,Sheng Zhe,リアル中国語会話 〜きもちが伝わる、すぐに使える〜,Majestech Inc.,毎日1分ひと言韓国語,NHK SERVICE CENTER
87,中学生の英単語1000,Gakko Net Inc.,TOEIC®テスト文法640問1,"LATIKA, Inc.",実務教育出版のSPI3&テストセンター完全対策,"Fasteps Co., Ltd."
88,My Numbers by BabyBus,BABYBUS,特訓英語中1マスター,Shigeru Komoro,"Fun Spanish - Language Learning Games for Kids. Educational play activities to teach young learners to read, speak and spell. Ideal for beginners to learn Spanish including infants, toddlers, kindergarten, nursery, preschool and primary school children",Studycat Limited
89,Nanzoo Clock - Learning the clock and time,Takafumi Sasaki,Baby show - BabyBus,Bi Hong Lin,漢検 あなたは何級？,"Imagineer Co.,Ltd."
90,書き取り漢字練習 FREE,"NOWPRODUCTION, CO.,LTD",小学４年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",MIKIHOUSE Motion Drawing Picture Book UGOKAKI,"MIKI SHOKO CO.,LTD"
91,英語発音速成攻略,Otek International Inc.,StarMap 3D+: Stargazing and Astronomy,Sanville Software,英熟語ターゲット1000（4訂版）,物書堂
92,Wilful play with your baby,Atech inc.,IPLawCommentaryViewer,katax,50単語無料◆英語知育アプリ「パパドリル＋プラス えいたんご・ブロンズ上巻」,"Tryon co.,Ltd."
93,Colorful Blocks for iPad - Funny educational App for Baby & Infant,monois Inc.,Multiplication・Division,"mmc Co., Ltd.",Dr. Panda's Restaurant 2,TribePlay
94,究極英単語！TOEIC 800点突破編,Yibei Inc,99xTimes,"PACIFIC SYSTEM CO., LTD.",動画英文法2700,United Intelligence
95,Pixel and Parker - Story Book Adventure with Interactive Board Game - Educational Reading Games for Preschool Kids,Spinlight Studio,Back in Time,Landka,英検予想問題ドリル,iEdu Apps
96,脳に刻むTOEIC英単語,Waterbear Soft inc.,Zigzag Math,MediaGuild Corporation,Pili Pop - English learning games for kids,Swasa
97,"Japanese (Hiragana, Katakana) Writing Reading Practice",NeoFinger,Pili Pop - English learning games for kids,Swasa,Hokusai Manga2 HD,学参ドットコム(株式会社ブックモールジャパン)
98,"Animation Tube Free – Enjoy Free Video, Animation and Anime Music",Sarah Ye,小学５年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",Hokusai Manga3 HD,学参ドットコム(株式会社ブックモールジャパン)
99,Biscuit - dictionary & flashcards,croquis.com,これなぁに？ ＨＤ版 のりもの編,"BeXide,Inc.",英語で大統領暗殺者「The President's Murderer」レベル1 | For iPad,eigoTown.com Ltd.
100,Touch 'n Sing,XING INC.,Dr. Panda's Airport,TribePlay,Duckie Deck Trash Toys,Duckie Deck Development

"http://www.appannie.com/apps/ios/top/japan/kids/?device=ipad"
#,free_title,free_publisher,paid_title,paid_publisher,sales_title,sales_publisher
1,ほしの島のにゃんこ,"COLOPL, Inc.","Little Builders - Trucks, Cranes & Diggers for Kids",Fox & Sheep,ほしの島のにゃんこ,"COLOPL, Inc."
2,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION,Frozen: Storybook Deluxe,Disney,Children's Books Library in the Forest,I-FREEK INC.
3,Disney Creativity Studio,Disney,Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD."
4,ninja math for 1st graders,Fantamstick,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD."
5,「おかあさんといっしょ・みいつけた」の赤ちゃん・子供向け知育アプリ　リズムあそび,"SMART EDUCATION, LTD.",Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.,"Little Builders - Trucks, Cranes & Diggers for Kids",Fox & Sheep
6,Touch and Move! Service Vehicles (for young children) - Educational Apps Free,Atech inc.,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.,Frozen: Storybook Deluxe,Disney
7,Gocco Fire Truck - 3D Games for Tiny Firefighters,"SMART EDUCATION, LTD.",日本地理クイズ 楽しく学べる教材シリーズ,Gloding Inc.,ninja math for 1st graders,Fantamstick
8,小学生かんじ　全学年無料版：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",Toca Hair Salon 2,Toca Boca AB,小学生かんじ　全学年無料版：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
9,無料知育ゲームアプリ｜なりきり!!ごっこランド,KidsStar Inc.,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD."
10,Where is it? - Learning Characters,"SUN&MOON,inc.",Dr. Panda's Toy Cars,TribePlay,Rhythm Tap,"SMART EDUCATION, LTD."
11,"Read Unlimitedly! Book, Music & Game - Kids'n Books (Educational Stories for kids)","SMART EDUCATION, LTD.",Dr. Panda's Restaurant 2,TribePlay,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD."
12,Eテレ「タップあそび」 幼児・子供向けの知育教育音楽ゲームアプリ,"SMART EDUCATION, LTD.",Sago Mini Space Explorer,Sago Sago,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION
13,子供向け無料動画GyaO!KIDS - アニメ、特撮ヒーロー、絵本、乗り物、動物、うたなどの動画とゲームが無料で楽しめるアプリです。,Yahoo Japan Corp.,Kid's Animal Doctor - Animal Hospital Games for girls & boys,"ZAPPALLAS, INC.",Read with Biff Chip & Kipper. The complete series: All 48 books.,Gazoob
14,Pancake Tower,Takahiro Ota,わかる！算数 小学３年【上】 for iPad,がくげい,Let's do pretend!! Hamburger shop! - Work Experience-Based Brain Training App,KidsStar Inc.
15,Children's Books Library in the Forest,I-FREEK INC.,日本地図マスター 楽しく学べる教材シリーズ,Gloding Inc.,こどもゆびドリル：ひらがな、カタカナ、かず、アルファベットがこれ１つで学べます！,"NEXTBOOK, Inc."
16,My Little Gourmet-BabyBus,BABYBUS,The Very Hungry Caterpillar™ & Friends – Play & Explore,StoryToys Entertainment Limited,はたらくくるまゴーゴー　働く車でお仕事ドライブ！幼児・子供向け知育アプリ,WAO CORPORATION
17,タッチ！あそベビー　〜0歳から遊べるタッチ遊びアプリ〜,WAO CORPORATION,「すらすら！ずけいあそび」おもしろいあそびで、図形の感覚を育てます,NCSOFT,Toca Hair Salon 2,Toca Boca AB
18,「おやこでリズムえほんDX」　赤ちゃん・幼児・子ども向けの音楽アプリ 　教育・知育,"SMART EDUCATION, LTD.",Dr. Panda's Supermarket,TribePlay,お弁当をつくろう！ママごっこ－お仕事体験知育アプリ,KidsStar Inc.
19,こどもゆびドリル：ひらがな、カタカナ、かず、アルファベットがこれ１つで学べます！,"NEXTBOOK, Inc.",Kanji Workbook for 3rd grade student,Gloding Inc.,Set up the airplane parts! - Work Experience-Based Brain Training App,KidsStar Inc.
20,Disney Princess Palace Pets,Disney,I see! Math1,がくげい,中川ひろたかの名作おはなし絵本 １５本ギフトパック,"NEXTBOOK, Inc."
21,Moving books jajajajan（Japanese language version）,"FORii, lnc.",Toca Hair Salon Me,Toca Boca AB,Let's do pretend Ice-cream shop! - Work Experience-Based Brain Training App,KidsStar Inc.
22,"Space 1999 - Matching, Stickers and Colors Games for Kids",MagisterApp,"YodelOh Math Mountain - Learning Drills for Addition, Subtraction, Multiplication and Division - Math Games for Kids",Spinlight Studio,Moving books jajajajan（Japanese language version）,"FORii, lnc."
23,子供向けゲーム「おやこでリズムタッププラス」！赤ちゃん・幼児の音楽げーむ 　教育・知育アプリ,"SMART EDUCATION, LTD.","Geo Challenge – Flags, Maps and Geography Learning Game for Kids",XING INC.,例解学習国語辞典 第九版,物書堂
24,"Math Animations (Grades 1-8): Includes numbers, decimals, fractions, addition, subtraction, multiplication, division, geometry(Perimeter and Area of parallelograms, triangles, trapezoids,...) measurement, algebra. Elementary and Middle School Mathematics",Xicheng Dong,Toca Town,Toca Boca AB,日本地理クイズ 楽しく学べる教材シリーズ,Gloding Inc.
25,TOKITAMA,Taichi Shimizu,Interactive Telling Time - Learning to tell time is fun,GiggleUp Kids Apps And Educational Games Pty Ltd,Dr. Panda's Toy Cars,TribePlay
26,無料3才からの知育パズル｜能力向上に役立つパズル＆テイルズ,KidsStar Inc.,かなもじ,HARASHOW Interactive,Let's pretend!! a Cookie House! - Work Experience-Based Brain Training App,KidsStar Inc.
27,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION,Hiragana - Japanese Lesson,Gloding Inc.,タッチ！ことばランド　2歳から遊べる言葉を育む子供向けアプリ,WAO CORPORATION
28,Mr.shape's TouchCard,KOO-KI,Duckie Deck Trash Toys,Duckie Deck Development,I see! Math1,がくげい
29,Sago Mini Ocean Swimmer,Sago Sago,Big Baby,Big Ice Cream Pty Ltd,Sago Mini Space Explorer,Sago Sago
30,Rhythmehon,"SMART EDUCATION, LTD.",Cars 2 World Grand Prix Read and Race,Disney,The Very Hungry Caterpillar™ & Friends – Play & Explore,StoryToys Entertainment Limited
31,こどもえいごずかん,"GAKKEN CO.,LTD",あなのほん,Chocolate Factory Publishing LLC,Kid's Animal Doctor - Animal Hospital Games for girls & boys,"ZAPPALLAS, INC."
32,時計が読める! こども時計 for iPad - 知育アプリで遊ぼう 子ども・幼児向け無料アプリ,monois Inc.,小学２年生かん字ドリル　楽しく学べる漢字シリーズ,Gloding Inc.,かなもじ,HARASHOW Interactive
33,Rhythmehon plus,"SMART EDUCATION, LTD.",Roleplay by BabyBus,BABYBUS,Learn Times Table fast with Math Ninja,Fantamstick
34,RyeBooks: The Monkeys Who Tried to Catch the Moon - by Rye Studio™,lv miao,小学１年生かんじ：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",パパドリルのお受験ずかん,"Tryon co.,Ltd."
35,Gocco Doodle - Kids Go Draw & Share Fun Doodles,"SMART EDUCATION, LTD.","Intro to Math, by Montessorium","Montessorium, LLC",わかる！算数 小学３年【上】 for iPad,がくげい
36,Disney Puzzle Packs,Disney,わかる！算数 小学３年【下】 for iPad,がくげい,日本地図マスター 楽しく学べる教材シリーズ,Gloding Inc.
37,Goodnight Safari,Polk Street Press LLC,Toddler Counting 123,GiggleUp Kids Apps And Educational Games Pty Ltd,Eテレ「タップあそび」 幼児・子供向けの知育教育音楽ゲームアプリ,"SMART EDUCATION, LTD."
38,"Kids Car, Trucks & Construction Vehicles - Puzzles for Toddlers",Pixel Envision,小２算数チャレンジ　楽しく学べる算数シリーズ,Gloding Inc.,Mr.shape's TouchCard,KOO-KI
39,小学生こくご　言葉と文：ゆびドリル（国語学習アプリ）,"NEXTBOOK, Inc.",The Human Body by Tinybop,Tinybop Inc.,Vroom Driving - Kids drive into picture book!,"Interspace Co.,Ltd."
40,Seek & Find - Hidden Objects Puzzle for Kids,Kids Games Club by TabTale,わかる！算数 小学２年 for iPad,がくげい,Disney Princess: Story Theater Free,Disney
41,Learn Times Table fast with Math Ninja,Fantamstick,Dr. Panda's Home,TribePlay,「すらすら！ずけいあそび」おもしろいあそびで、図形の感覚を育てます,NCSOFT
42,tsukune run,"Pasona Tech,Inc.",小学３年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",お受験パパのおはなしドリル,"Tryon co.,Ltd."
43,Safety Series By BabyBus,BABYBUS,Thomas & Friends: Lift & Haul — a collection of 6 games,HiT Entertainment,Dr. Panda's Supermarket,TribePlay
44,Animal Eggs - Educational games for toddler,monois Inc.,Toca House,Toca Boca AB,Me Books,Me Books
45,waochi!,WAO CORPORATION,「すらすら！かずあそび」お子さまが数字とふれあう初めの一歩、１から１０までの数字と遊びます,NCSOFT,Kanji Workbook for 3rd grade student,Gloding Inc.
46,Talking Baby Hippo for iPad,Out Fit 7 Ltd.,小１さんすうチャレンジ　楽しく学べる算数シリーズ,Gloding Inc.,わかる！算数 小学２年 for iPad,がくげい
47,My Numbers by BabyBus,BABYBUS,Japanese Picture Matching Card Game by NIHONGODEASOBO,"Obunsha Co.,Ltd.",Toca Hair Salon Me,Toca Boca AB
48,Nanzoo Clock - Learning the clock and time,Takafumi Sasaki,Mickey Mouse Clubhouse: Mickey's Wildlife Count Along,Disney,"YodelOh Math Mountain - Learning Drills for Addition, Subtraction, Multiplication and Division - Math Games for Kids",Spinlight Studio
49,Colorful Blocks for iPad - Funny educational App for Baby & Infant,monois Inc.,Clockwork Puzzle Full - Learn to Tell Time,Keaton.com,"Geo Challenge – Flags, Maps and Geography Learning Game for Kids",XING INC.
50,Pixel and Parker - Story Book Adventure with Interactive Board Game - Educational Reading Games for Preschool Kids,Spinlight Studio,Busy Shapes,Seven Academy,Rhythmehon plus,"SMART EDUCATION, LTD."
51,Great Ant Adventure: Free App for Children and Toddlers,monois Inc.,Petting Zoo - Animal Animations,Fox & Sheep,Cars 2 World Grand Prix Read and Race,Disney
52,Kid's Doctor,"ZAPPALLAS, INC.",Barefoot World Atlas,Touch Press,BabyTV Mobile HD,"BabyTV, FOX International Channels"
53,Touch 'n Sing,XING INC.,中川ひろたかの名作おはなし絵本 １５本ギフトパック,"NEXTBOOK, Inc.",Toca Town,Toca Boca AB
54,Disney Princess: Story Theater Free,Disney,小学２年生かんじ：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",Japanese Picture Matching Card Game by NIHONGODEASOBO,"Obunsha Co.,Ltd."
55,Vroom Driving - Kids drive into picture book!,"Interspace Co.,Ltd.",雪の女王,Timecode,Interactive Telling Time - Learning to tell time is fun,GiggleUp Kids Apps And Educational Games Pty Ltd
56,Kid's jewel maker,monois Inc.,Toca Lab,Toca Boca AB,こどもえいごずかん,"GAKKEN CO.,LTD"
57,Barbie® Digital Makeover,"Mattel, Inc.",例解学習国語辞典 第九版,物書堂,50単語無料◆英語知育アプリ「パパドリル＋プラス えいたんご・ブロンズ上巻」,"Tryon co.,Ltd."
58,Happy Paint - Funny educational App for Baby & Infant,monois Inc.,Sago Mini Doodlecast,Sago Sago,Dr. Panda's Restaurant 2,TribePlay
59,Build A Train Lite,Playtend Apps LLP,Katakana - Japanese Lesson,Gloding Inc.,Pili Pop - English learning games for kids,Swasa
60,Halloween - Coloring Puzzles for Kids,MagisterApp,Addition・Subtraction,"mmc Co., Ltd.",Duckie Deck Trash Toys,Duckie Deck Development
61,I see! Math1 Free,がくげい,小学４年生漢字ドリル　楽しく学べる漢字シリーズ,Gloding Inc.,BrainPOP Featured Movie,BrainPOP®
62,Chuggington Traintastic Adventures Free – A Train Set Game for Kids,Budge Studios,Toca Cars,Toca Boca AB,あなのほん,Chocolate Factory Publishing LLC
63,わかる！算数 小学２年 Free,がくげい,Piiig Labs: Science Experiments for Kids in Elementary School and Kindergarten,Piiig Inc.,Gocco Fire Truck - 3D Games for Tiny Firefighters,"SMART EDUCATION, LTD."
64,Transport Jigsaw Puzzles 123 Free for iPad - Fun Learning Puzzle Game for Kids,GiggleUp Kids Apps And Educational Games Pty Ltd,Music Superheroes - Learn music while having fun,Lisbon Labs,学研の頭脳開発　「ちえのおけいこ３歳」,"GAKKEN CO.,LTD"
65,Coco Wedding,Coco Play,DragonBox Elements,WeWantToKnow AS,My Little Town: Toddler's Seek & Find (In The Morning). An interactive activity book (2+).,wonderkind GmbH
66,Toca Hair Salon - Christmas Gift,Toca Boca AB,Toca Builders,Toca Boca AB,키즈월드,BluePin
67,「北風と太陽」親子でさわって面白い子供向け絵本アプリ！読み聞かせにもおすすめ！,MOONBEAMS Inc.,Ocean - Animal Adventures for Kids,Fox & Sheep,Clockwork Puzzle Full - Learn to Tell Time,Keaton.com
68,The Very Hungry Caterpillar™ & Friends – Play & Explore Free,StoryToys Entertainment Limited,Sago Mini Monsters,Sago Sago,わかる！算数 小学３年【下】 for iPad,がくげい
69,Children's Environmental Education Series by BabyBus,BABYBUS,小学４年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",Elmo Loves 123s,Sesame Street
70,ひとりでできたよ！ ミラクルぽんっ！ -できた！を育むこども向け知育ジグソーパズル。親子で楽しめる人気キャラクタ大集合-,BB Softservice corp.,Elmo Loves 123s,Sesame Street,The Human Body by Tinybop,Tinybop Inc.
71,PONPON-WORLD KINGYO-SUKUI game,U-PLUS Corporation,Multiplication・Division,"mmc Co., Ltd.",Puzzle For Toddlers Free.,Tailmind
72,Airlines go-round for iPad - Funny educational App for Baby & Infant,monois Inc.,Zigzag Math,MediaGuild Corporation,First Phrases HD,"Hamaguchi Apps for Speech, Language & Auditory Development"
73,Disney Classics Collection,Disney,Pili Pop - English learning games for kids,Swasa,Dr. Panda's Home,TribePlay
74,Interactive Telling Time Lite - Learning to tell time is fun,GiggleUp Kids Apps And Educational Games Pty Ltd,Dr. Panda's Restaurant,TribePlay,いないいないばあ　無料版,"NEXTBOOK, Inc."
75,mojigakky,ANALOG TWELVE,小学５年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc.",小学３年生漢字：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
76,Gocco Zoo - Creative Paint & Play for Kids,"SMART EDUCATION, LTD.",Dr. Panda's Airport,TribePlay,waochi!,WAO CORPORATION
77,Our Body by BabyBus,Bi Hong Lin,Elmo's Monster Maker HD,Sesame Street,Disney Classics Collection,Disney
78,Fit Brains for Kids: Sparky's Adventures,Rosetta Stone Canada Inc.,Toy Story: Story Theater,Disney,Chuggington Puzzle Stations! - Educational Jigsaw Puzzle Game for Kids,Budge Studios
79,いまなんじ？,"WINGLE Co.,Ltd.","Draw With Us! - Stickers, Photos, Pencils & Fun for Kids",Fox & Sheep,Toca House,Toca Boca AB
80,Rhythm Tap,"SMART EDUCATION, LTD.",Quick Math - Multiplication Table & Arithmetic Game,Shiny Things,「すらすら！かずあそび」お子さまが数字とふれあう初めの一歩、１から１０までの数字と遊びます,NCSOFT
81,Ariel's Musical Surprise,Disney,Motion Math: Hungry Fish,Motion Math,ワオっち！ビッツパズル,WAO CORPORATION
82,いないいないばあ　無料版,"NEXTBOOK, Inc.",Crazy Trip - Create a Truck Driving Game - by A+ Kids Apps & Educational Games,"A+ Kids Apps & Educational Games, LLC",Coco Paint My Dress,Coco Play
83,Animal Puzzle Free - Drag 'n' Drop Puzzles for Toddlers,Gregory R. Piccolo,Marble Math,Artgig Studio,Petting Zoo - Animal Animations,Fox & Sheep
84,Bean Bag Kids present Little Red Riding Hood,Mundomono,勇者の暗算HD,PETITCAST LLC.,Nighty Night! HD - The bedtime story app for children,Fox & Sheep
85,Playing with sand - Funny educational App for Baby & Infant,monois Inc.,Grandpa's Workshop,Fairlady Media,小学２年生かん字ドリル　楽しく学べる漢字シリーズ,Gloding Inc.
86,My Graffiti - BabyBus,Bi Hong Lin,Pango plays soccer,Studio Pango,Puzzle For Children,The Barn Of Kinder Kids
87,"Puzzle - fun for kids 2 : free puzzle app for children 2-4 years with balloons, spider, fly, fish,bugs, insects, sounds and other funny animals, suitable for kindergarten and preschools",Jens Blom,"Kids Learn Animals and chinese, Japanese,english hd",zhang yong,Roleplay by BabyBus,BABYBUS
88,Preschool Kids How Many Boxes?,Fantamstick,Dr. Panda’s Garage,TribePlay,小学１年生かんじ：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
89,Toca Tailor Fairy Tales,Toca Boca AB,PumiLumi Band,Elevision GmbH,小学２年生かんじ：ゆびドリル（漢字学習アプリ）,"NEXTBOOK, Inc."
90,Dora-Kids × SHUFFLE FUN,"Shogakukan-Shueisha Productions Co., Ltd.",Math Masters for Kids,HARASHOW Interactive,Math Masters for Kids,HARASHOW Interactive
91,Buzz Me! Kids Toy Phone Free - All in One children activity center,GiggleUp Kids Apps And Educational Games Pty Ltd,アルファベット−ABC：こども ゆびドリル,"NEXTBOOK, Inc.","Intro to Math, by Montessorium","Montessorium, LLC"
92,All-You-Can-Read! World's picture books at your fingertips! “EhonKids”,MOONBEAMS Inc.,Montessori Geometry,Les Trois Elles Interactive,Toca Lab,Toca Boca AB
93,LEGO® DUPLO® Train,The LEGO Group,Numbees and the world of math,Sompom,Montessori Geometry,Les Trois Elles Interactive
94,Animal Elevator for iPad - Funny educational App for Baby & Infant,monois Inc.,First year Kanji learning drills,Gloding Inc.,DragonBox Elements,WeWantToKnow AS
95,"ABC Moo - Endless learning games for kids. Play and teach numbers,count 123,shapes,tell time. Develop toddler preschooler cognitive skills. Lumosity Einstein brain trainer puzzles build imagination.",JIEZHEN LI,Toca Train,Toca Boca AB,Kid's Doctor,"ZAPPALLAS, INC."
96,Happy Stamp - Funny educational App for Baby & Infant,monois Inc.,小３算数チャレンジ　楽しく学べる算数シリーズ,Gloding Inc.,小２算数チャレンジ　楽しく学べる算数シリーズ,Gloding Inc.
97,Color Band,Ting-Wei Liu,Monkey Preschool Lunchbox,THUP Games,Sago Mini Doodlecast,Sago Sago
98,わかる！算数 小学３年 【上】 Free,がくげい,小学生手書き漢字ドリルDX - はんぷく学習シリーズ,Gakko Net Inc.,Addition・Subtraction,"mmc Co., Ltd."
99,Preschool Maze 123 Free - Fun learning with Children animated puzzle game,GiggleUp Kids Apps And Educational Games Pty Ltd,Dr. Panda's Veggie Garden,TribePlay,小学４年生漢字ドリル　楽しく学べる漢字シリーズ,Gloding Inc.
100,Baby Hair Salon,Umair Javed,Read with Biff Chip & Kipper. The complete series: All 48 books.,Gazoob,"Puzzle - fun for kids 2 : free puzzle app for children 2-4 years with balloons, spider, fly, fish,bugs, insects, sounds and other funny animals, suitable for kindergarten and preschools",Jens Blom

